,Model,Make,Transmission,Engine,Year,KM,Price,Owner
198,MarutiBaleno,ALPHA 1.2 K12 Manual,Manual,Petrol,2016,"29,711 km","₹6,17,099",1st Owner
199,HyundaiEon,ERA PLUS Manual,Manual,Petrol,2017,"42,159 km","₹3,32,299",1st Owner
200,MarutiCiaz,ALPHA 1.4 VVT Manual,Manual,Petrol,2018,"27,384 km","₹7,03,699",2nd Owner
201,RenaultKwid,RXT Manual,Manual,Petrol,2017,"42,259 km","₹3,28,599",2nd Owner
202,MarutiWagonR1.0,VXI Manual,Manual,Petrol,2015,"59,786 km","₹3,50,099",2nd Owner
203,Hyundaii10,SPORTZ 1.1 IRDE2 Manual,Manual,Petrol,2015,"56,757 km","₹3,97,199",1st Owner
204,HyundaiNEWSANTRO,SPORTZ 1.1 Manual,Manual,Petrol,2019,"20,728 km","₹4,85,599",1st Owner
205,MarutiAlto800,LXI Manual,Manual,Petrol,2014,"56,719 km","₹2,51,899",1st Owner
206,MarutiCelerio,ZXI OPT AMT Automatic,Automatic,Petrol,2016,"47,851 km","₹4,02,799",3rd Owner
207,MarutiSwift,VXI Manual,Manual,Petrol,2017,"15,308 km","₹5,75,999",1st Owner
208,MarutiSwift,VXI OPT Manual,Manual,Petrol,2017,"42,061 km","₹5,29,699",1st Owner
209,MarutiSwift,VXI AMT Automatic,Automatic,Petrol,2019,"7,808 km","₹6,68,199",1st Owner
210,MarutiEeco,5 STR WITH AC PLUSHTR Manual,Manual,Petrol,2019,"23,090 km","₹4,28,299",1st Owner
211,MarutiIGNIS,DELTA 1.2 K12 Manual,Manual,Petrol,2018,"15,813 km","₹5,19,799",1st Owner
212,MarutiSwift,VXI Manual,Manual,Petrol,2016,"48,512 km","₹4,68,399",2nd Owner
213,RenaultTRIBER,1.0 RXZ Manual,Manual,Petrol,2019,"13,476 km","₹6,70,699",1st Owner
214,HondaCity,SV MT PETROL Manual,Manual,Petrol,2015,"42,617 km","₹5,99,699",2nd Owner
215,MarutiAltoK10,VXI Manual,Manual,Petrol,2018,"30,899 km","₹3,20,099",1st Owner
216,VolkswagenPolo,HIGHLINE1.2L PETROL Manual,Manual,Petrol,2015,"39,763 km","₹5,05,599",2nd Owner
217,MarutiWagonR1.0,VXI OPT Manual,Manual,Petrol,2017,"42,080 km","₹4,21,299",2nd Owner
218,MarutiIGNIS,DELTA 1.2 K12 Manual,Manual,Petrol,2018,"24,679 km","₹5,45,899",1st Owner
219,MarutiSwift,VXI Manual,Manual,Petrol,2018,"31,935 km","₹5,97,199",1st Owner
