,Model,Make,Transmission,Engine,Year,KM,Price,Owner
480,HyundaiVerna,FLUIDIC 1.6 SX CRDI Manual,Manual,Diesel,2013,"48,540 km","₹4,89,799",1st Owner
481,MarutiSwift,VXI Manual,Manual,Petrol,2017,"35,774 km","₹5,38,999",1st Owner
482,HyundaiElitei20,ASTA 1.2 (O) Manual,Manual,Petrol,2016,"25,632 km","₹6,20,699",1st Owner
483,HyundaiElitei20,ASTA 1.2 Manual,Manual,Petrol,2017,"24,203 km","₹6,06,999",1st Owner
484,MarutiIGNIS,ZETA 1.2 K12 DUAL TONE Manual,Manual,Petrol,2017,"42,179 km","₹4,73,499",1st Owner
485,MarutiAlto800,LXI Manual,Manual,Petrol,2019,"15,919 km","₹3,22,699",1st Owner
486,MarutiSwiftDzire,VXI 1.2 BS IV Manual,Manual,Petrol,2015,"47,445 km","₹4,70,099",1st Owner
487,MarutiSwift,ZXI Manual,Manual,Petrol,2014,"47,529 km","₹4,67,099",2nd Owner
488,MarutiAlto800,LXI Manual,Manual,Petrol,2014,"54,447 km","₹2,49,099",2nd Owner
489,HyundaiVerna,FLUIDIC 1.6 VTVT S (O)  MT Manual,Manual,Petrol,2015,"52,025 km","₹5,59,899",2nd Owner
490,HyundaiGRANDI10NIOS,Asta Petrol Manual,Manual,Petrol,2019,"9,850 km","₹6,16,999",1st Owner
491,HyundaiEon,D LITE PLUS Manual,Manual,Petrol,2016,"39,041 km","₹2,75,499",1st Owner
492,HyundaiGrandi10,ASTA 1.2 KAPPA VTVT Manual,Manual,Petrol,2018,"27,108 km","₹5,16,699",2nd Owner
493,MarutiSwift,VXI Manual,Manual,Petrol,2014,"53,117 km","₹4,28,699",1st Owner
494,MarutiSwiftDzire,VXI 1.2 BS IV Manual,Manual,Petrol,2017,"46,766 km","₹5,51,999",1st Owner
495,Hyundaii20Active,1.2 SX Manual,Manual,Petrol,2016,"50,036 km","₹5,93,599",1st Owner
496,RenaultLodgy,110 PS RXZ 8 STR Manual,Manual,Diesel,2015,"10,507 km","₹6,91,299",1st Owner
497,HyundaiElitei20,ASTA 1.2 Manual,Manual,Petrol,2015,"24,687 km","₹5,68,799",1st Owner
498,SkodaSuperb,ELEGANCE 1.8 TSI MT Manual,Manual,Petrol,2014,"48,862 km","₹6,91,299",2nd Owner
499,MarutiSwift,VDI ABS Manual,Manual,Diesel,2014,"61,230 km","₹5,02,299",1st Owner
500,RenaultKwid,RXL1.0 EASY-R AT ,,Petrol,2017,"68,865 km","₹3,29,699",1st Owner
501,HyundaiElitei20,Magna Executive 1.2 Manual,Manual,Petrol,2018,"21,569 km","₹5,89,399",1st Owner
502,HyundaiVENUE,S MT 1.2 KAPPA Manual,Manual,Petrol,2020,"17,363 km","₹7,84,299",1st Owner
503,VolkswagenVento,HIGHLINE PETROL Manual,Manual,Petrol,2016,"44,001 km","₹6,79,199",1st Owner
504,HyundaiEon,D LITE PLUS Manual,Manual,Petrol,2013,"62,306 km","₹2,29,899",1st Owner
505,HondaCity,V MT PETROL Manual,Manual,Petrol,2015,"61,592 km","₹5,71,699",2nd Owner
506,HondaJazz,1.2 V MT Manual,Manual,Petrol,2019,"16,519 km","₹6,34,599",1st Owner
507,MarutiBaleno,DELTA 1.2 K12 Manual,Manual,Petrol,2016,"42,411 km","₹5,20,599",1st Owner
508,FiatGrandPunto,DYNAMIC 1.3 Manual,Manual,Diesel,2014,"63,424 km","₹2,52,099",2nd Owner
509,HyundaiElitei20,ASTA 1.4 CRDI Manual,Manual,Diesel,2017,"41,729 km","₹6,61,999",1st Owner
510,MarutiWagonRStingray,VXI Manual,Manual,Petrol,2013,"62,227 km","₹3,31,799",1st Owner
511,MarutiBaleno,ZETA 1.2 K12 Manual,Manual,Petrol,2019,"18,253 km","₹6,93,999",1st Owner
512,VolkswagenPolo,GT TSI 1.2 PETROL AT Automatic,Automatic,Petrol,2017,"35,885 km","₹7,04,699",1st Owner
513,MarutiCiaz,VDI+ SHVS Manual,Manual,Diesel,2016,"41,753 km","₹5,14,899",2nd Owner
514,MarutiCelerio,ZXI OPT AMT Automatic,Automatic,Petrol,2017,"74,843 km","₹4,22,299",1st Owner
515,MarutiRitz,ZDI Manual,Manual,Diesel,2015,"95,891 km","₹3,57,299",1st Owner
516,HyundaiElitei20,Magna Executive 1.2 Manual,Manual,Petrol,2018,"28,667 km","₹6,12,699",1st Owner
517,HyundaiElitei20,ASTA 1.2 Manual,Manual,Petrol,2015,"52,909 km","₹5,60,199",1st Owner
518,HyundaiElitei20,SPORTZ 1.2 Manual,Manual,Petrol,2018,"36,767 km","₹5,89,799",1st Owner
519,MarutiErtiga,VDI ABS Manual,Manual,Diesel,2013,"68,679 km","₹5,73,799",1st Owner
520,HyundaiVENUE,1.0 TURBO GDI SX+ AT ,,Petrol,2020,"15,076 km","₹10,49,399",2nd Owner
521,MarutiBaleno,ALPHA 1.2 K12 Manual,Manual,Petrol,2018,"41,887 km","₹6,51,099",2nd Owner
522,HyundaiCreta,1.6 VTVT SX AUTO Automatic,Automatic,Petrol,2019,"17,855 km","₹12,24,699",2nd Owner
523,MarutiIGNIS,ZETA 1.2 K12 Manual,Manual,Petrol,2018,"50,448 km","₹4,56,299",1st Owner
524,HyundaiCreta,1.6 SX PLUS DIESEL Manual,Manual,Diesel,2018,"36,684 km","₹11,18,399",1st Owner
525,MarutiSwift,VXI AMT Automatic,Automatic,Petrol,2019,"13,523 km","₹6,58,399",1st Owner
526,HondaWR-V,1.5 i-DTEC VX MT Manual,Manual,Diesel,2019,"32,568 km","₹8,93,699",1st Owner
527,MarutiSwift,VDI ABS Manual,Manual,Diesel,2015,"73,530 km","₹4,69,999",1st Owner
528,HondaWR-V,1.5 i-DTEC VX MT Manual,Manual,Diesel,2019,"30,092 km","₹9,09,199",1st Owner
529,MarutiCelerio,ZXI ABS AMT Automatic,Automatic,Petrol,2016,"92,930 km","₹3,94,899",1st Owner
530,RenaultKwid,RXT Manual,Manual,Petrol,2016,"62,491 km","₹3,08,499",1st Owner
531,HondaWR-V,1.5 i-DTEC VX MT Manual,Manual,Diesel,2017,"45,633 km","₹6,78,799",1st Owner
532,FordEcosport,1.5 TDCI TITANIUM PLUS Manual,Manual,Diesel,2017,"59,953 km","₹6,77,999",2nd Owner
533,MarutiSwift,VDI ABS Manual,Manual,Diesel,2015,"65,160 km","₹4,57,599",2nd Owner
534,HyundaiCreta,1.6 SX CRDI ,,Diesel,2018,"47,876 km","₹11,12,799",1st Owner
535,HondaBR-V,1.5 i-VTEC VX Manual,Manual,Petrol,2017,"37,711 km","₹8,75,099",1st Owner
536,MarutiSwiftDzire,VDI ABS Manual,Manual,Diesel,2015,"85,558 km","₹5,14,199",1st Owner
537,MarutiErtiga,VDI ABS Manual,Manual,Diesel,2013,"75,384 km","₹5,81,799",1st Owner
538,MarutiSwift,VXI Manual,Manual,Petrol,2019,"35,634 km","₹6,01,399",1st Owner
539,MarutiCiaz,SIGMA 1.3 DDIS SHVS Manual,Manual,Diesel,2017,"87,908 km","₹5,58,799",1st Owner
540,HondaCity,V MT PETROL Manual,Manual,Petrol,2013,"74,119 km","₹4,65,399",2nd Owner
541,MahindraXUV500,W7 FWD Manual,Manual,Diesel,2018,"68,112 km","₹11,96,599",1st Owner
542,MahindraXUV3OO,W8(O) Manual,Manual,Diesel,2019,"14,187 km","₹11,54,499",1st Owner
543,HyundaiElitei20,Magna Executive Diesel Manual,Manual,Diesel,2018,"49,485 km","₹6,51,499",1st Owner
544,HondaJazz,1.2 V AT Automatic,Automatic,Petrol,2015,"81,461 km","₹4,83,099",2nd Owner
545,HyundaiSantaFe,2WD AT Automatic,Automatic,Diesel,2016,"93,127 km","₹8,75,699",1st Owner
546,VolkswagenPolo,HIGHLINE1.5L DIESEL Manual,Manual,Diesel,2017,"64,360 km","₹5,40,999",2nd Owner
547,MahindraXUV500,W10 Manual,Manual,Diesel,2015,"1,07,622 km","₹10,61,999",1st Owner
548,HyundaiGrandi10,ASTA AT 1.2 KAPPA VTVT Automatic,Automatic,Petrol,2015,"83,617 km","₹4,00,799",1st Owner
549,HyundaiCreta,1.6 SX PLUS DIESEL Manual,Manual,Diesel,2018,"45,311 km","₹11,10,299",1st Owner
550,JeepCompass,2.0 LIMITED Manual,Manual,Diesel,2017,"24,303 km","₹14,68,599",1st Owner
551,MarutiSwift,VDI Manual,Manual,Diesel,2013,"99,401 km","₹3,88,299",1st Owner
552,MarutiSwiftDzire,VXI 1.2 BS IV Manual,Manual,Petrol,2015,"95,389 km","₹4,56,699",1st Owner
553,AudiQ3,2.0 TDI Automatic,Automatic,Diesel,2014,"67,509 km","₹12,69,599",2nd Owner
554,MarutiCelerio,VXI Manual,Manual,Petrol,2015,"89,237 km","₹3,27,599",2nd Owner
555,MarutiSwift,VXI Manual,Manual,Petrol,2013,"1,03,981 km","₹3,98,299",1st Owner
556,HondaCRV,2.4 AWD AT Manual,Manual,Petrol,2015,"80,621 km","₹11,51,099",1st Owner
557,HondaAmaze,1.2 SMT I VTEC Manual,Manual,Petrol,2015,"96,366 km","₹4,34,599",1st Owner
558,VolkswagenPolo,HIGHLINE1.5L DIESEL Manual,Manual,Diesel,2014,"1,70,685 km","₹3,33,299",2nd Owner
559,HyundaiGrandi10,ASTA AT 1.2 KAPPA VTVT Manual,Manual,Petrol,2014,"1,10,322 km","₹3,47,599",1st Owner
560,RenaultDuster,RXZ AMT 110 PS Automatic,Automatic,Diesel,2016,"1,04,769 km","₹7,11,199",1st Owner
561,HyundaiElitei20,1.4 SPORTS PLUS CRDI ,,Diesel,2019,"89,264 km","₹6,72,599",1st Owner
562,HondaCity,SV MT DIESEL Manual,Manual,Diesel,2014,"97,746 km","₹5,13,099",1st Owner
563,MarutiSwift,ZDI Manual,Manual,Diesel,2015,"1,05,021 km","₹4,49,899",1st Owner
564,RenaultDuster,85 PS RXE Manual,Manual,Diesel,2014,"1,21,663 km","₹4,23,499",2nd Owner
565,ToyotaInnovaCrysta,2.4 ZX 7 STR Manual,Manual,Diesel,2016,"1,54,390 km","₹15,33,299",1st Owner
566,Hyundaii20,SPORTZ 1.4 CRDI Manual,Manual,Diesel,2013,"1,15,703 km","₹3,19,599",2nd Owner
567,HyundaiCreta,1.6 CRDI SX PLUS AUTO Automatic,Automatic,Diesel,2016,"1,36,583 km","₹8,12,699",1st Owner
568,FordEcosport,1.5TITANIUM TDCI Manual,Manual,Diesel,2020,"11,520 km","₹9,73,299",1st Owner
569,MarutiAltoK10,VXI Manual,Manual,Petrol,2015,"95,412 km","₹2,18,499",1st Owner
570,RenaultKwid,RXT Manual,Manual,Petrol,2017,"42,399 km","₹3,15,499",1st Owner
571,HyundaiGrandi10,MAGNA 1.2 KAPPA VTVT Manual,Manual,Petrol,2017,"14,965 km","₹4,91,899",1st Owner
572,HyundaiCreta,1.6 SX (O) VTVT Manual,Manual,Petrol,2018,"18,813 km","₹9,25,099",1st Owner
573,VolkswagenAmeo,COMFORTLINE 1.2 Manual,Manual,Petrol,2017,"48,014 km","₹4,61,199",1st Owner
574,MarutiVitaraBrezza,ZDI Manual,Manual,Diesel,2016,"62,482 km","₹6,77,999",1st Owner
575,HyundaiVerna,FLUIDIC 1.6 SX VTVT OPT AT Automatic,Automatic,Petrol,2013,"67,799 km","₹4,35,499",2nd Owner
